large_model,small_model,distortion,severity,variant,accuracy,nll,ece
wideresnet50_2,resnet34,none,0,f_large,0.6978800296783447,1.2878855466842651,15.407562255859375
wideresnet50_2,resnet34,none,0,f_small,0.6714000105857849,1.403305172920227,14.766509056091309
wideresnet50_2,resnet34,none,0,tent_f_large,0.05392000079154968,305.3166198730469,310.9140625
wideresnet50_2,resnet34,none,0,f_large_TS,0.6978800296783447,1.290519118309021,11.270691871643066
wideresnet50_2,resnet34,none,0,f_small_TS,0.6714000105857849,1.4146255254745483,10.910026550292969
wideresnet50_2,resnet34,none,0,tent_f_large_TS_naive,0.030799999833106995,130.352783203125,137.125
wideresnet50_2,resnet34,none,0,Duo_Joint_TS,0.7096999883651733,1.2008906602859497,13.804871559143066
wideresnet50_2,resnet34,gaussian_noise,3,f_large,0.3150399923324585,3.5978899002075195,10.746587753295898
wideresnet50_2,resnet34,gaussian_noise,3,f_small,0.29910001158714294,3.7503559589385986,10.904874801635742
wideresnet50_2,resnet34,gaussian_noise,3,tent_f_large,0.003379999892786145,81.6100082397461,82.6688003540039
wideresnet50_2,resnet34,gaussian_noise,3,f_large_TS,0.3150399923324585,3.480100631713867,7.9052815437316895
wideresnet50_2,resnet34,gaussian_noise,3,f_small_TS,0.29910001158714294,3.5643012523651123,8.10605525970459
wideresnet50_2,resnet34,gaussian_noise,3,tent_f_large_TS_naive,0.0032399999909102917,63.46983337402344,64.1661148071289
wideresnet50_2,resnet34,gaussian_noise,3,Duo_Joint_TS,0.3632600009441376,3.110654354095459,9.302257537841797
wideresnet50_2,resnet34,gaussian_noise,4,f_large,0.13835999369621277,5.2739057540893555,8.805437088012695
wideresnet50_2,resnet34,gaussian_noise,4,f_small,0.1177000030875206,5.8445305824279785,9.548739433288574
wideresnet50_2,resnet34,gaussian_noise,4,tent_f_large,0.0010000000474974513,84.86078643798828,85.62026977539062
wideresnet50_2,resnet34,gaussian_noise,4,f_large_TS,0.13835999369621277,4.975452899932861,6.508120059967041
wideresnet50_2,resnet34,gaussian_noise,4,f_small_TS,0.1177000030875206,5.307753562927246,7.134005069732666
wideresnet50_2,resnet34,gaussian_noise,4,tent_f_large_TS_naive,0.0010000000474974513,66.5080337524414,67.04121398925781
wideresnet50_2,resnet34,gaussian_noise,4,Duo_Joint_TS,0.16327999532222748,4.723304748535156,7.453334331512451
wideresnet50_2,resnet34,gaussian_noise,5,f_large,0.029980000108480453,7.105774402618408,7.528674125671387
wideresnet50_2,resnet34,gaussian_noise,5,f_small,0.022679999470710754,8.306349754333496,9.069964408874512
wideresnet50_2,resnet34,gaussian_noise,5,tent_f_large,0.0010000000474974513,85.50502014160156,85.96772003173828
wideresnet50_2,resnet34,gaussian_noise,5,f_large_TS,0.029980000108480453,6.519095420837402,5.587146759033203
wideresnet50_2,resnet34,gaussian_noise,5,f_small_TS,0.022679999470710754,7.213660717010498,6.798568248748779
wideresnet50_2,resnet34,gaussian_noise,5,tent_f_large_TS_naive,0.0010000000474974513,67.30073547363281,67.6312026977539
wideresnet50_2,resnet34,gaussian_noise,5,Duo_Joint_TS,0.03144000098109245,6.71283483505249,6.6362409591674805
